2024-06-06 19:32:41 INFO  PesticideSystemLogger - Pesticide System Initialized
2024-06-06 19:33:13 INFO  PesticideSystemLogger - Pesticide System Initialized
2024-06-06 19:33:19 INFO  PesticideSystemLogger - Slug attempted to damage the plant Lily at position (0, 1) but missed.
2024-06-06 19:33:19 INFO  PesticideSystemLogger - Pesticide system applied Slugs to Lily at position (0, 1)
2024-06-06 19:33:19 INFO  PesticideSystemLogger - Plant: Lily at position (0, 1) healed by 4 points, new health: 24
2024-06-06 19:33:19 INFO  PesticideSystemLogger - Slug has successfully damaged the plant Carrot at position (1, 3). Old health: 20. New health: 12
2024-06-06 19:33:19 INFO  PesticideSystemLogger - Pesticide system applied Slugs to Carrot at position (1, 3)
2024-06-06 19:33:19 INFO  PesticideSystemLogger - Plant: Carrot at position (1, 3) healed by 4 points, new health: 16
2024-06-06 19:33:19 INFO  PesticideSystemLogger - Slug has successfully damaged the plant Carrot at position (1, 4). Old health: 20. New health: 12
2024-06-06 19:33:19 INFO  PesticideSystemLogger - Pesticide system applied Slugs to Carrot at position (1, 4)
2024-06-06 19:33:19 INFO  PesticideSystemLogger - Plant: Carrot at position (1, 4) healed by 4 points, new health: 16
2024-06-06 19:33:19 INFO  PesticideSystemLogger - Slug has successfully damaged the plant Carrot at position (4, 1). Old health: 20. New health: 12
2024-06-06 19:33:19 INFO  PesticideSystemLogger - Pesticide system applied Slugs to Carrot at position (4, 1)
2024-06-06 19:33:19 INFO  PesticideSystemLogger - Plant: Carrot at position (4, 1) healed by 4 points, new health: 16
2024-06-06 19:33:25 INFO  PesticideSystemLogger - Rat has successfully damaged the plant Carrot at position (1, 3). Old health: 16. New health: 12
2024-06-06 19:33:25 INFO  PesticideSystemLogger - Pesticide system applied Rat to Carrot at position (1, 3)
2024-06-06 19:33:25 INFO  PesticideSystemLogger - Plant: Carrot at position (1, 3) healed by 2 points, new health: 14
2024-06-06 19:33:25 INFO  PesticideSystemLogger - Rat has successfully damaged the plant Carrot at position (1, 4). Old health: 16. New health: 12
2024-06-06 19:33:25 INFO  PesticideSystemLogger - Pesticide system applied Rat to Carrot at position (1, 4)
2024-06-06 19:33:25 INFO  PesticideSystemLogger - Plant: Carrot at position (1, 4) healed by 2 points, new health: 14
2024-06-06 19:33:25 INFO  PesticideSystemLogger - Rat has successfully damaged the plant Carrot at position (4, 1). Old health: 16. New health: 12
2024-06-06 19:33:25 INFO  PesticideSystemLogger - Pesticide system applied Rat to Carrot at position (4, 1)
2024-06-06 19:33:25 INFO  PesticideSystemLogger - Plant: Carrot at position (4, 1) healed by 2 points, new health: 14
2024-06-06 19:33:31 INFO  PesticideSystemLogger - Rat has successfully damaged the plant Carrot at position (1, 3). Old health: 14. New health: 10
2024-06-06 19:33:31 INFO  PesticideSystemLogger - Pesticide system applied Rat to Carrot at position (1, 3)
2024-06-06 19:33:31 INFO  PesticideSystemLogger - Plant: Carrot at position (1, 3) healed by 2 points, new health: 12
2024-06-06 19:33:31 INFO  PesticideSystemLogger - Rat has successfully damaged the plant Carrot at position (1, 4). Old health: 14. New health: 10
2024-06-06 19:33:31 INFO  PesticideSystemLogger - Pesticide system applied Rat to Carrot at position (1, 4)
2024-06-06 19:33:31 INFO  PesticideSystemLogger - Plant: Carrot at position (1, 4) healed by 2 points, new health: 12
2024-06-06 19:33:31 INFO  PesticideSystemLogger - Rat has successfully damaged the plant Carrot at position (4, 1). Old health: 14. New health: 10
2024-06-06 19:33:31 INFO  PesticideSystemLogger - Pesticide system applied Rat to Carrot at position (4, 1)
2024-06-06 19:33:31 INFO  PesticideSystemLogger - Plant: Carrot at position (4, 1) healed by 2 points, new health: 12
2024-06-06 19:33:55 INFO  PesticideSystemLogger - Plant: Lily at position (0, 1) updated to new health stage: 1, image updated to lily.png
2024-06-06 19:33:55 INFO  PesticideSystemLogger - Slug has successfully damaged the plant Lily at position (0, 1). Old health: 60. New health: 52
2024-06-06 19:33:55 INFO  PesticideSystemLogger - Pesticide system applied Slugs to Lily at position (0, 1)
2024-06-06 19:33:55 INFO  PesticideSystemLogger - Plant: Lily at position (0, 1) healed by 4 points, new health: 56
2024-06-06 19:33:55 INFO  PesticideSystemLogger - Slug attempted to damage the plant Carrot at position (1, 3) but missed.
2024-06-06 19:33:55 INFO  PesticideSystemLogger - Pesticide system applied Slugs to Carrot at position (1, 3)
2024-06-06 19:33:55 INFO  PesticideSystemLogger - Plant: Carrot at position (1, 3) healed by 4 points, new health: 16
2024-06-06 19:33:55 INFO  PesticideSystemLogger - Slug has successfully damaged the plant Carrot at position (1, 4). Old health: 12. New health: 4
